,Mins,Rating,Market Value,Fee,Class
365,3263,6.91,9.0,0.0,1
366,1772,6.7,900.0,4.05,1
367,1155,6.88,13.0,0.0,0
368,3420,6.69,6.3,8.1,1
369,3330,6.86,12.0,0.0,0
370,2406,6.86,25.0,0.0,1
371,3067,6.68,1.8,2.97,1
372,2750,6.85,9.0,0.0,1
373,1143,6.68,13.5,0.0,1
374,3420,6.85,8.0,0.0,0
375,2995,6.85,16.0,0.0,1
376,1943,6.84,9.0,0.0,1
377,1341,6.66,13.5,15.53,1
378,1724,6.0,1.26,1.8,2
379,1414,6.64,630.0,180.0,1
380,2009,6.64,675.0,1.98,1
381,1912,6.81,11.0,0.0,1
382,3016,6.64,16.2,7.2,1
383,1337,6.64,22.5,12.6,1
384,2411,6.8,16.0,0.0,1
385,3420,6.79,19.0,0.0,1
386,1049,6.6,6.3,4.95,1
387,3330,6.75,22.0,0.0,0
388,2227,6.6,810.0,1.35,1
389,807,6.6,9.0,10.71,1
390,2313,6.58,900.0,450.0,1
391,1730,6.73,9.0,0.0,1
392,1315,6.58,18.0,8.1,1
393,3060,6.58,1.35,0.0,1
394,1764,6.57,900.0,0.0,0
395,2027,6.57,1.35,0.0,1
396,1276,6.71,13.0,0.0,1
397,1800,6.57,3.15,3.42,1
398,2435,6.71,13.0,0.0,1
399,1960,6.55,1.8,1.35,0
400,1911,6.71,9.0,0.0,1
401,1707,6.54,2.7,3.6,1
402,2430,6.54,2.25,8.1,1
403,1481,6.7,13.0,0.0,1
404,1451,6.54,1.26,1.17,0
405,1490,6.53,7.2,6.3,1
406,2006,6.69,27.0,0.0,1
407,2489,6.52,1.35,2.7,1
408,3060,6.68,22.0,0.0,1
409,2626,6.52,1.35,900.0,1
410,1515,6.5,540.0,4.5,1
411,1515,6.5,540.0,4.5,1
412,1011,6.67,15.0,0.0,1
413,1722,6.5,2.7,1.35,0
414,2264,6.65,9.0,0.0,1
415,2008,6.49,900.0,0.0,2
416,1259,6.49,2.25,0.0,0
417,701,6.48,22.5,22.05,2
418,2572,6.64,13.0,0.0,1
419,1008,6.46,13.5,22.5,2
420,1081,6.46,3.15,6.3,2
421,1261,6.46,1.35,0.0,2
422,1069,6.44,1.58,1.35,0
423,908,6.44,8.1,8.1,2
424,1091,6.43,1.8,8.1,2
425,1514,6.42,1.8,900.0,2
426,1729,6.59,18.0,0.0,1
427,1494,6.42,4.5,4.5,2
428,2476,6.35,3.6,2.25,2
429,640,6.35,16.2,12.6,2
430,1175,6.31,675.0,4.05,2
431,1183,6.18,1.8,1.8,0
432,852,6.15,3.15,3.6,2
433,2344,8.0,108.0,121.5,1
434,553,6.49,16.0,0.0,2
435,2261,7.48,720.0,2.7,1
436,2037,7.35,4.5,0.0,0
437,2825,7.25,9.0,6.3,1
438,3000,7.13,8.1,5.4,0
439,2580,7.05,1.13,2.34,1
440,3011,7.02,7.2,0.0,1
441,2959,7.65,58.0,0.0,1
442,1800,7.02,1.8,3.6,1
443,2290,7.01,6.3,1.8,0
444,2023,7.59,28.0,0.0,0
445,2044,7.01,9.0,0.0,1
