,Player,Mins,Rating,Market Value,Fee,Class
918,Bobby De Cordova-Reid,1423,6.41,93.3690924112027,0.0,2
919,Junior Stanislas,1027,6.4,92.93652138838064,0.0,2
920,Harry Arter,2009,6.39,95.77625323678063,0.0,2
921,Nampalys Mendy,2089,6.37,96.98182824752672,0.0,2
922,Hélder Costa,1346,6.36,95.7252448180908,0.0,2
923,Andre Gray,1362,6.35,96.27104011090273,0.0,2
924,Chris Löwe,2057,6.35,97.92143959965398,0.0,2
925,Ivan Cavaleiro,687,6.35,94.66813413261912,0.0,2
926,Isaac Success,1039,6.32,97.02742137016315,0.0,2
927,Gaëtan Bong,1805,6.31,99.35422330551233,0.0,2
928,Tim Ream,2051,6.3,100.44619396870229,0.0,2
929,Jürgen Locadia,1230,6.27,100.019986817318,0.0,2
930,Jeff Hendrick,2071,6.27,102.01708893248315,0.0,2
931,Charlie Austin,981,6.27,99.42869261199559,0.0,0
932,Asmir Begovic,2160,6.25,103.24403602293972,0.0,2
933,Kelechi Iheanacho,931,6.22,101.84896125801504,0.0,2
934,Laurent Depoitre,1062,6.22,102.16004375157826,0.0,2
935,Morgan Gibbs-White,651,6.2,102.19965308034324,0.0,2
936,Elias Kachunga,1182,6.14,106.50740868988606,0.0,2
937,Isaac Mbenza,984,6.14,106.03722293625623,0.0,0
938,Lys Mousset,351,6.11,106.05745478326787,0.0,0
939,Shinji Okazaki,271,6.1,106.37528122583501,0.0,0
940,Cristiano RonaldoJuventus,2689,7.68,31.884770100213927,0.0,1
941,Alejandro Gómez,2913,7.64,34.44789935520265,0.0,1
942,Mario MandzukicJuventus,2020,7.34,47.56132864595344,0.0,1
943,Leonardo Pavoletti,2738,7.32,50.281946640617946,0.0,1
944,Stephan El Shaarawy,2109,7.26,51.835078643036354,0.0,0
945,Edin Dzeko,2576,7.24,53.95965308133174,0.0,1
946,João CanceloJuventus,1967,7.2,54.54467762534239,0.0,1
947,Cristian Ansaldi,1816,7.19,54.69390210574926,0.0,0
948,Alex SandroJuventus,2392,7.15,58.092917144968794,0.0,1
949,Aleksandar Kolarov,2906,7.12,60.83690181730094,0.0,1
950,Robin Gosens,1947,7.11,59.067388474814265,0.0,1
951,Erick Pulgar,2363,7.11,60.055253492541624,0.0,0
952,Fabio Quagliarella,3211,7.11,62.06897833637049,0.0,1
953,Lucas Leiva,1988,7.11,59.164750171273,0.0,1
954,Kevin Malcuit,1806,7.11,58.73255922601726,0.0,1
955,Paulo DybalaJuventus,2137,7.08,61.04197827757025,0.0,1
956,Federico Fazio,2805,7.07,63.13606201162787,0.0,1
